"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"91",117064,"health","premium",4.4,14,26,57,886
"92",109949,"health","premium",4.3,0,21,12.5,1737
"93",151944,"health","premium",4.8,4,20,30.8,962
"94",196573,"toys","off_brand",4.8,2,6,108.7,2453
"95",118896,"health","premium",4.7,1,18,43.6,1346
"96",187092,"other","premium",4.2,4,21,52.5,3120
"97",100541,"other","off_brand",3.8,8,15,59.4,1046
"98",132180,"other","off_brand",3.7,2,15,19.6,2296
"99",144480,"toys","off_brand",4.8,18,16,61.4,721
"100",156512,"toys","off_brand",3.2,8,21,75.7,2854
"101",186427,"other","off_brand",4.4,2,20,39.5,2638
"102",230353,"toys",NA,4.8,1,23,100.8,2695
"103",54890,"health","off_brand",2.2,4,28,37.8,813
"104",114614,"food","premium",4.5,4,18,85.4,947
"105",269134,"health",NA,4.5,1,28,41.1,4246
"106",198294,"toys","off_brand",4.7,5,16,82.7,2725
"107",153415,"other","off_brand",4.4,4,12,80,1939
"108",105325,"health","off_brand",4.6,6,25,22,881
"109",111687,"health","premium",4.5,11,17,25.8,1708
"110",84358,"toys","off_brand",4,4,NA,70.4,1623
"111",133965,"health","off_brand",4.4,10,15,NA,1108
"112",148417,"toys","off_brand",4.5,13,18,56.2,1941
"113",114597,"other","premium",3.2,7,NA,9.6,2042
"114",69358,"toys","off_brand",3.4,3,18,56.1,1144
"115",95201,"other","premium",4,10,28,60.9,1461
"116",104500,"health","premium",3.9,6,17,76.9,1940
"117",158312,"toys","off_brand",4.8,4,9,82.2,950
"118",103270,"other","off_brand",4.1,4,28,40.3,802
"119",133634,"food","premium",4.2,7,12,34.9,752
"120",198099,"health","off_brand",4.9,5,19,42.3,1723
"121",111330,"health",NA,3.9,6,29,63.6,2259
"122",182412,"health","off_brand",4,9,NA,36.6,2726
"123",197750,"toys","off_brand",4.7,3,22,53.1,2475
"124",153088,"health","premium",4.2,11,26,5,2224
"125",143027,"health","premium",4.2,4,NA,5,2502
"126",139723,"toys","premium",4.7,14,18,70.7,1188
"127",263363,"health","premium",4.4,6,7,30.8,3862
"128",124575,"toys","off_brand",3.8,3,16,91,1419
"129",213304,"health","premium",4.3,10,NA,57.1,3213
"130",146945,"health","premium",4.5,6,1,21.7,1046
"131",211632,"toys","off_brand",4.6,9,NA,87.2,2691
"132",106148,"toys","premium",3.9,2,10,52,2292
"133",122436,"other","off_brand",3.9,7,NA,NA,974
"134",91653,"toys","premium",4.4,10,25,32.1,669
"135",75817,"toys","off_brand",3.4,5,18,75,1329
"136",206893,"health",NA,4.6,8,20,54.9,2508
"137",252451,"toys","premium",4.7,8,14,56.6,4169
"138",129387,"toys",NA,4.2,11,23,38.1,1941
"139",209891,"health","off_brand",4.7,214,15,53.1,2840
"140",235750,"toys","off_brand",4.7,11,30,83.2,3331
"141",184854,"food","off_brand",4.9,4,9,104.5,1309
"142",181180,"toys","off_brand",4.8,2,25,38,2186
"143",140338,"health","premium",3.9,2,24,63.8,2282
"144",159651,"health","premium",4.7,12,11,27.5,954
"145",120098,"health","off_brand",4.3,9,38,78,1282
"146",90096,"food","premium",4.2,3,33,28.1,1393
"147",143011,"toys","off_brand",4.5,6,18,63.2,983
"148",163709,"health","off_brand",4.6,7,27,5,2137
"149",187586,"toys","premium",4.2,4,20,56.9,3111
"150",74910,"other","premium",4,10,NA,28.2,641
"151",156976,"food",NA,4.1,5,13,44.5,2627
"152",52654,"toys","premium",2.4,6,23,49.9,1094
"153",260445,"food",NA,4.9,9,27,36,2672
"154",146796,"toys","premium",4.7,7,20,28.4,1648
"155",113852,"health","off_brand",4,2,NA,54.9,2202
"156",138647,"health","premium",4.8,8,25,43.7,1713
"157",126329,"toys","off_brand",4.3,11,12,64.5,996
"158",86537,"toys","off_brand",4.1,9,38,66.4,1011
"159",128485,"health","off_brand",4.4,6,10,47.2,1066
"160",152464,"health","premium",3.2,2,28,16.3,2459
"161",145214,"health","premium",4.1,3,29,42.3,2637
"162",123875,"food","off_brand",4,6,32,86.7,1353
"163",218216,"other","off_brand",4.2,14,9,42.5,3208
"164",70923,"health","off_brand",3.7,12,14,30.4,1032
"165",104064,"food","off_brand",4,7,38,63.7,1231
"166",200519,"health","premium",4.2,14,12,17.7,2666
"167",152132,"other","premium",4,1,11,52,2351
"168",215338,"health","off_brand",4.5,17,18,50.5,2643
"169",12008,"toys","off_brand",3.4,1,20,38.5,1124
"170",201510,"other","off_brand",4.3,5,15,NA,2696
"171",214658,"toys","off_brand",4.2,19,21,65.4,2629
"172",83545,"toys","off_brand",4.4,5,20,100,977
"173",93478,"health","premium",3.8,5,8,52.1,947
"174",101667,"toys","premium",4.3,4,24,33.2,970
"175",36916,"other","premium",4.2,7,17,46.2,487
"176",128277,"other","off_brand",4.4,2,NA,46.4,1006
"177",243280,"toys","premium",4.3,5,9,89,4168
"178",185537,"toys","off_brand",4.2,15,29,73.8,3294
"179",170742,"health","off_brand",4.2,2,22,46.2,3077
"180",187398,"health","off_brand",4.5,8,21,47.2,2384
"181",199354,"health","premium",4.7,7,31,43.6,2408
"182",158552,"food","premium",3.9,5,26,63,2135
"183",156570,"health","off_brand",4.4,4,29,21.7,2973
"184",153106,"toys","off_brand",4,12,9,57.8,1521
"185",185947,"other","off_brand",4.7,15,29,33.9,1412
"186",138834,"other","off_brand",2.6,9,25,39.5,1943
"187",129959,"health","premium",3.1,1,9,27.3,3291
"188",141284,"toys","premium",4.2,4,16,15.2,2361
"189",90996,"other","premium",4.5,4,25,46.3,1072
"190",186253,"toys","off_brand",4.8,10,10,46.3,2133
"191",92726,"food","premium",3.6,8,25,79,1060
"192",125392,"health","off_brand",4.5,8,27,70.7,2469
"193",134390,"health","off_brand",3.8,6,24,58.7,2880
"194",131716,"toys","off_brand",4.5,15,29,52.3,1411
"195",222554,"food","off_brand",3.4,4,10,NA,3182
"196",41646,"health","premium",4,12,17,5,683
"197",127090,"other","premium",4.6,17,19,19.3,764
"198",144496,"other","off_brand",3.7,1,17,65.2,2774
"199",138790,"food","premium",4.9,10,37,38.4,792
"200",194481,"health","off_brand",4.7,6,17,42.9,1435
"201",60956,"toys","premium",4.2,6,13,9.9,840
"202",219841,"health","off_brand",4.9,3,11,42,2632
"203",168160,"toys","off_brand",4.1,6,NA,49.1,2893
"204",135462,"health","off_brand",4.6,8,14,91.9,929
"205",172688,"health","off_brand",4.4,9,16,51.9,949
"206",210996,"toys","off_brand",4.3,9,18,70,3165
"207",122003,"food","off_brand",3.7,7,7,90.9,1324
"208",78144,"health","off_brand",4.3,9,23,78,1211
"209",154134,"food","off_brand",2.3,17,14,73.7,1626
"210",156382,"toys","off_brand",4.8,10,10,42,950
"211",178916,"health","off_brand",4.6,3,24,63.2,1584
"212",67912,"toys","premium",4.2,1,16,62.2,997
"213",118942,"health","premium",4.4,5,NA,5,1891
"214",140335,"health","off_brand",3.3,18,NA,26.8,1895
"215",182705,"health","off_brand",3.7,9,18,45.3,2742
"216",158462,"toys","off_brand",3.5,10,22,45.5,2878
"217",156125,"toys","premium",4.8,5,18,84,2625
"218",229550,"other","off_brand",4.8,9,22,46.3,3102
"219",181820,"health","premium",3.5,11,16,7.7,3668
"220",198352,"toys","premium",4.7,9,11,34.3,2751
"221",170825,"food","premium",4.3,6,16,24.9,2770
"222",144661,"other","off_brand",4.3,11,12,54.2,2014
"223",84358,"health","premium",2.3,8,10,23.1,925
"224",164362,"other",NA,4.5,5,26,39.8,2806
"225",146610,"health","off_brand",4.9,1,33,52,1708
"226",19777,"toys","premium",3.3,2,16,59.4,847
"227",163488,"toys","off_brand",4.9,6,18,61.6,1471
"228",74599,"health","premium",4,4,NA,24.3,781
"229",204001,"health","off_brand",4.5,10,17,50.1,2944
"230",215618,"food",NA,4.1,6,NA,39.8,3416
"231",203148,"health","off_brand",4.3,4,12,49.7,3132
"232",148884,"toys","off_brand",4.6,15,NA,56.6,691
"233",156891,"health",NA,3.7,1,16,41.3,2832
"234",95492,"other","premium",3.7,4,22,56.3,959
"235",228732,"toys","off_brand",4.7,15,6,48.6,3472
"236",62211,"toys","premium",3.8,6,31,55.8,752
"237",83990,"health","premium",3.6,5,16,5,1204
"238",149253,"toys","off_brand",3.5,4,NA,58.7,2549
"239",196329,"toys","off_brand",4.3,3,21,93.1,3423
"240",193598,"toys","premium",4.8,14,19,72.2,2586
"241",140620,"toys","premium",4.5,9,5,65.7,990
"242",142482,"toys","off_brand",4.5,9,NA,96.7,1750
"243",209249,"food","off_brand",4.8,5,26,77.9,2773
"244",146681,"health","off_brand",4.8,7,16,77.7,1302
"245",118160,"toys","premium",3.5,7,NA,47.7,2818
"246",181945,"health","off_brand",4.2,14,26,57.5,2326
"247",105834,"health","premium",4.2,12,19,26,961
"248",127692,"health","off_brand",4.3,11,30,49.8,1240
"249",157924,"toys","off_brand",4.7,7,25,101.9,1239
"250",191524,"toys","off_brand",4.7,9,37,42.5,2341
"251",191892,"health","off_brand",4.9,9,2,48.4,775
"252",188657,"toys","off_brand",4.4,4,10,57.8,2630
"253",165182,"other","off_brand",4.4,4,17,49.3,2763
"254",159873,"health","premium",4.8,4,29,16.3,896
"255",164141,"health","off_brand",4.8,17,19,36.5,901
"256",130989,"toys","premium",4.6,3,21,47.8,1395
"257",101130,"health","off_brand",3.8,16,23,13.1,1034
"258",159375,"other","off_brand",4.8,4,14,56.9,1767
"259",82148,"toys","premium",3.4,7,NA,53,2526
"260",198148,"health","off_brand",4.4,6,24,72.5,2528
"261",63254,"toys",NA,3.9,6,38,53.2,1191
"262",155048,"toys","off_brand",3.9,6,14,61.2,2905
"263",265448,"food","premium",3.5,4,30,11.6,4891
"264",173377,"health","off_brand",4.4,15,20,42.4,2693
"265",44877,"food","off_brand",3.3,181,29,70.1,817
"266",180589,"toys",NA,3.5,11,28,49.1,3189
"267",117489,"health","off_brand",4.5,6,11,5,1352
"268",216557,"health","off_brand",4.7,11,27,52.9,2881
"269",232554,"health","premium",4.5,2,31,50.8,3574
"270",141250,"health","off_brand",3.8,9,NA,67.2,1032
"271",190620,"toys","premium",4.5,10,20,27.6,2178
"272",34242,"toys","off_brand",3.7,3,21,70.5,850
"273",107281,"toys","premium",3.8,3,24,54.8,1994
"274",149701,"toys","off_brand",4.4,7,NA,110.8,1808
"275",86832,"health","off_brand",3.7,7,20,19.4,1025
"276",112088,"toys","off_brand",4.2,8,22,103.6,843
"277",78699,"other","off_brand",4,8,20,9.3,857
"278",85114,"toys","premium",4.6,4,32,NA,1051
"279",82090,"toys","premium",3.5,7,19,38.5,1714
"280",187718,"health","off_brand",4.3,15,23,54.7,2650
"281",103377,"toys","off_brand",4.2,5,26,45.5,2064
"282",48702,"health","off_brand",3.8,10,27,34.1,365
"283",192091,"health","premium",4.4,8,17,62.1,2975
"284",199710,"health","off_brand",4,12,17,55.1,2637
"285",121273,"toys","premium",4.5,1,11,47.4,1509
"286",168460,"food","off_brand",4.3,9,19,58.1,1126
"287",86313,"toys","premium",3.7,10,9,58,775
"288",186051,"food","premium",4.4,9,19,71.8,2534
"289",225039,"other","off_brand",4.8,17,11,NA,1989
"290",113527,"health","premium",4.7,6,15,93.3,1193
"291",106754,"toys","off_brand",4.1,2,13,34.2,675
"292",150350,"health","off_brand",4.4,3,5,60.1,1435
"293",142223,"food","off_brand",4.7,3,12,19.6,1086
"294",137364,"other","off_brand",4.5,6,12,13.4,945
"295",258868,"health","off_brand",4.8,11,30,39.2,3287
"296",89917,"toys","premium",4,4,13,42,1258
"297",204865,"toys","off_brand",4.5,4,NA,69.1,2349
"298",118414,"health","off_brand",4.4,9,14,38.8,1030
"299",143424,"toys","off_brand",3.6,4,16,NA,3958
"300",120503,"toys","premium",4.8,6,10,18.8,1157
"301",89176,"toys","premium",4.4,1,24,77.9,901
"302",115598,"toys","off_brand",4.1,9,18,54.2,886
"303",107578,"other","premium",4.8,6,25,39.9,1029
"304",80745,"toys","off_brand",4,16,27,42.8,1303
"305",96309,"health","premium",2.2,8,19,44.9,2454
"306",153263,"toys","off_brand",4.9,4,27,75.5,888
"307",224862,"toys","premium",4.8,17,29,38.5,2100
"308",134753,"toys","premium",4.3,7,9,64,847
"309",138170,"toys","off_brand",4.1,24,18,19.7,1574
"310",174549,"health","premium",4.4,11,20,37.1,2430
"311",56267,"toys","off_brand",3.9,5,12,69.7,1299
"312",241099,"toys","off_brand",4.7,1,32,68,4266
"313",179426,"health",NA,4.3,4,NA,34.1,2734
"314",33553,"health","off_brand",4.3,2,29,14.3,962
"315",97286,"toys","off_brand",4.2,8,22,39.5,621
"316",223868,"health",NA,4.8,10,18,50.5,2448
"317",99375,"toys","off_brand",4.4,3,NA,53.5,746
"318",160369,"toys","off_brand",4.6,9,31,62.6,2561
"319",149856,"food","off_brand",4.3,2,24,38.2,1203
"320",121413,"other","off_brand",4.3,3,16,61.8,995
"321",159133,"food","premium",3.9,194,15,40.7,1756
"322",116313,"health","premium",4.5,14,24,5.5,825
"323",137601,"toys","off_brand",4.1,13,21,7.3,1743
"324",64467,"other",NA,3.9,5,13,43.1,1174
"325",43988,"toys","premium",2.9,194,17,5,749
"326",231446,"other","premium",4.7,9,25,45.9,3426
"327",173203,"other","premium",4.7,3,20,65.2,2089
"328",107893,"toys","off_brand",3.2,3,29,59.6,2268
"329",199771,"health","premium",4.5,1,27,NA,3717
"330",122058,"health","off_brand",3.9,7,21,60.3,1819
"331",176794,"toys","premium",3.7,13,22,53.8,2950
"332",191766,"health","off_brand",4.4,9,21,58.7,3267
"333",149000,"health","premium",3.5,14,15,53.6,2856
"334",83050,"food","premium",3.3,10,25,63.1,960
"335",207569,"food","premium",3.7,10,14,34.3,3765
"336",239557,"toys","off_brand",4.9,13,29,28.5,2803
"337",107694,"health",NA,3.9,16,16,49.3,1058
"338",73944,"other","premium",3.6,3,9,37.5,1348
"339",118000,"other","premium",4.2,12,24,15.1,758
"340",109397,"toys","premium",4.8,2,13,38.4,1007
"341",223400,"food","off_brand",4.6,12,21,55.2,1361
"342",151987,"toys","off_brand",4.5,8,31,70.7,2482
"343",164150,"toys","premium",4.6,7,14,49,1907
"344",135428,"health","off_brand",4.2,3,24,47.3,2082
"345",121089,"health","premium",4.6,17,13,68.9,985
"346",199152,"toys","premium",4.5,6,20,38.8,2565
"347",177135,"health","premium",4.6,3,13,67,2396
"348",219721,"toys","off_brand",4.6,3,NA,6.7,3151
"349",189658,"health","off_brand",3.9,8,17,20.2,3177
"350",113182,"health","off_brand",3.8,2,16,NA,1963
"351",156701,"toys","off_brand",4.3,8,15,63.8,1708
"352",105008,"other","off_brand",4.4,5,18,18.5,954
"353",223346,"health","premium",4.6,8,33,37.6,3334
"354",169258,"health","premium",4.8,3,36,55.2,1988
"355",90703,"toys","off_brand",3.8,2,10,43.5,990
"356",110200,"toys","premium",4.1,17,23,62.9,1651
"357",117864,"toys","off_brand",4.4,12,32,72.8,1637
"358",230256,"health","off_brand",4.5,12,23,84.8,2856
"359",175159,"health","off_brand",4.3,13,22,49.3,1531
"360",103076,"other","off_brand",4,12,17,91,1134
"361",116482,"food",NA,3.2,2,26,44.6,2001
"362",164297,"health",NA,4.4,14,29,27.5,1734
"363",187603,"other","off_brand",4.8,7,19,37.5,1234
"364",105398,"toys","premium",4.7,6,26,72.1,819
"365",189031,"health","off_brand",4.4,160,22,62,2548
"366",207955,"health","off_brand",3.8,3,13,5,3790
"367",166084,"health","off_brand",4.9,11,12,58.9,1021
"368",54955,"toys","premium",3.8,2,20,45.3,1091
"369",259927,"health","off_brand",4.8,2,22,56,3251
"370",115941,"toys","off_brand",4.2,10,22,28.5,1140
"371",73694,"toys","off_brand",3.4,3,19,90.2,1955
"372",148317,"health","premium",4.2,6,22,44.1,2346
"373",159019,"toys","off_brand",4.9,11,23,38.8,1661
"374",223728,"health","off_brand",4.7,9,NA,25.5,3061
"375",264266,"food","off_brand",4.8,14,15,64,2340
"376",175766,"toys","premium",4.6,14,16,71.5,1134
"377",197629,"health","off_brand",4.4,13,9,27.4,1391
"378",26725,"toys","premium",4.2,1,16,42.6,794
"379",205296,"health","premium",4.6,3,23,23.3,2992
"380",172311,"health","off_brand",4.3,11,20,75.9,2176
"381",175026,"toys","premium",4.6,4,20,55.5,3349
"382",118385,"toys","off_brand",4,8,31,39,2626
"383",170592,"toys","premium",4.4,13,12,57.9,2616
"384",84344,"toys","premium",4.6,9,19,43.7,1581
"385",121283,"other","premium",4.5,4,21,24.3,952
"386",92560,"toys","off_brand",4,6,28,51.9,1072
"387",184717,"other","off_brand",4.2,9,17,62.3,2782
"388",169363,"food","off_brand",4.6,5,12,50.6,1013
"389",95843,"toys","off_brand",3.5,4,14,84.2,898
"390",183571,"food","off_brand",4.1,6,34,49.9,2520
"391",82830,"health","off_brand",4,8,18,72.7,1078
"392",243854,"food","premium",4.6,15,NA,69.3,3073
"393",203455,"other","off_brand",4.8,13,26,45,1917
"394",150340,"other","premium",4.2,8,27,49.5,2919
"395",89813,"toys","premium",4.1,4,18,88.2,975
"396",114607,"toys","off_brand",3.7,25,22,74,754
"397",151415,"health","off_brand",3.8,10,25,41.2,2234
"398",170899,"health","premium",4.8,5,36,44.5,2008
"399",260598,"food","off_brand",4.8,16,19,NA,3256
"400",207130,"toys","off_brand",4.8,4,19,NA,2578
"401",159303,"health","premium",4.6,5,12,5,1151
"402",98327,"toys","off_brand",3.3,13,21,40.4,1939
"403",50182,"health","premium",3.9,2,26,69.4,788
"404",108731,"health","off_brand",3.4,8,26,55.6,1762
"405",141802,"health","off_brand",3.8,4,28,40.5,2878
"406",169028,"toys","off_brand",3.8,7,27,59.6,3260
"407",109908,"toys","premium",3.6,2,22,69,1859
"408",100669,"health","off_brand",4.2,6,28,26.6,1114
"409",51620,"toys","premium",3.9,5,27,NA,891
"410",188220,"health","premium",4.4,7,25,24.4,2445
"411",185331,"toys","off_brand",4.8,212,25,57.3,2605
"412",201592,"food","off_brand",4.6,1,13,45.7,1473
"413",95363,"toys","off_brand",3.9,8,26,109.4,792
"414",127420,"other","premium",3.8,3,24,NA,2516
"415",156152,"food","off_brand",4.4,14,18,84.4,1044
"416",148853,"other","off_brand",4.1,4,14,54.2,1832
"417",227735,"food","off_brand",4.7,23,21,55.3,2294
"418",92426,"food","off_brand",3.7,8,27,33.7,781
"419",195444,"health","off_brand",4.4,6,20,86.4,2965
"420",77255,"health","premium",3.5,2,14,67.8,828
"421",118630,"food","off_brand",4,15,20,55.1,928
"422",249646,"toys","premium",4.8,13,20,6.7,3587
"423",174904,"toys","premium",4.9,8,19,52.4,1717
"424",269336,"health","off_brand",4.8,11,24,39.3,3572
"425",187089,"toys","premium",4.7,3,30,77,2912
"426",200912,"toys","off_brand",4.6,4,21,51.5,3616
"427",123634,"health","off_brand",4.4,18,8,35.3,853
"428",136819,"food","premium",4.5,4,26,45.7,945
"429",135356,"other","off_brand",4.1,10,20,29.6,1798
"430",121417,"toys","off_brand",3.9,3,12,72.5,2655
"431",233561,"health","off_brand",4.8,14,23,40,2490
"432",96348,"toys","premium",3.5,0,9,35.3,1909
"433",210283,"food","premium",4.4,19,21,79.1,3285
"434",60215,"health","premium",3.8,11,22,53,1049
"435",40620,"health","premium",3.9,9,30,59.2,985
"436",228655,"toys","off_brand",4.9,10,26,64.7,1863
"437",54030,"health","premium",3.7,5,19,24.2,884
"438",202672,"health","premium",4.1,11,32,88,3957
"439",129705,"toys","off_brand",4.3,196,19,77,1402
"440",59116,"health","off_brand",3.5,4,21,NA,969
"441",148306,"health","off_brand",4.5,1,25,26.4,2484
"442",152589,"toys","off_brand",4.7,9,7,47.2,987
"443",250567,"health","off_brand",4.8,12,22,56,3146
"444",130600,"health","premium",4.7,4,18,65.6,1230
"445",134008,"toys","premium",4.5,5,13,56.8,1206
"446",230316,"food","off_brand",4.6,6,26,73,3208
"447",132003,"food","off_brand",3.9,5,1,49.2,918
"448",108565,"toys","premium",3.8,1,8,28.1,1612
"449",131751,"health","off_brand",3.8,5,24,15.3,1810
"450",171264,"other","off_brand",4.6,3,18,47.1,1231
"451",97003,"health","off_brand",4.2,4,31,36.6,1643
"452",107914,"health","off_brand",3.5,6,18,36.2,1395
"453",88655,"toys","off_brand",4.3,1,13,83.4,755
"454",53431,"health","premium",3.6,5,12,19.9,450
"455",88714,"toys","premium",4,3,12,44,895
"456",120515,"food","off_brand",3.3,13,25,65.3,916
"457",75955,"health",NA,4.2,4,28,45.4,656
"458",220287,"toys","premium",4.7,9,26,60.2,3429
"459",111917,"toys","premium",3.2,12,18,35.3,2296
"460",137208,"other","off_brand",4.3,11,1,71.6,1221
"461",208474,"toys","premium",4.5,8,15,88.1,2834
"462",212908,"food",NA,4.7,2,27,69.6,2709
"463",136963,"health","off_brand",4.9,1,19,8.5,1218
"464",136023,"food","off_brand",4,13,13,43.3,1269
"465",169257,"health","premium",4.8,14,NA,24,1777
"466",120863,"food","premium",4.1,10,21,25.1,945
"467",89054,"health","off_brand",4,2,10,49.4,899
"468",93428,"health","off_brand",4.1,2,20,31.3,853
"469",151607,"health","off_brand",4,4,17,9,2549
"470",62725,"health","premium",4,5,23,9.5,798
"471",184575,"food","premium",4.1,5,32,15.1,3177
"472",95015,"health","premium",3.3,3,40,62.1,2219
"473",115448,"toys",NA,3.8,11,10,55.9,2279
"474",51837,"other","premium",4,3,12,45,572
"475",157009,"health","off_brand",4.6,14,11,26.6,894
"476",215787,"health","premium",4.6,9,NA,46.4,2865
"477",198641,"food","off_brand",4.1,2,20,87.1,2772
"478",150408,"food","premium",4.3,174,12,27.9,1190
"479",79891,"toys","premium",3.7,207,14,38,1097
"480",212573,"food","off_brand",3.9,10,31,NA,3702
"481",81811,"toys","premium",4.2,10,20,73.9,882
"482",124855,"food","premium",4.4,5,25,5,952
"483",115092,"toys","off_brand",4.3,2,19,63.7,956
"484",103062,"toys","premium",4,2,24,42.2,2210
"485",192173,"health","off_brand",4.4,3,29,83.1,2049
"486",93438,"toys","premium",3.5,2,14,19.3,2286
"487",189264,"other","off_brand",3.5,5,30,NA,4083
"488",78153,"health","off_brand",4,6,25,22.8,929
"489",178414,"health","off_brand",4.4,13,NA,64.8,1722
"490",201600,"health","off_brand",4.1,16,18,35,3496
"491",206140,"health","off_brand",3.6,10,23,90.7,3200
"492",124204,"health","off_brand",4.6,5,4,28.5,1045
"493",206439,"health","premium",3.7,13,6,51.2,2682
"494",150166,"health","premium",3.4,23,24,17.5,2043
"495",117184,"toys","off_brand",3.7,5,23,70.6,1071
"496",92553,"toys","premium",4.6,8,31,44.2,870
"497",199358,"health","off_brand",4,5,13,60.1,2978
"498",192295,"other","premium",4.3,9,25,50.6,2613
"499",120446,"other","premium",4,10,26,23.1,2118
"500",223627,"toys","off_brand",4.5,15,10,55.4,2318
